transaction_id,customer_id,transaction_date,product_id,product_category,quantity,sales_price
S0001,C0001,11/1/24,P0001,Electronics,2,859.99
S0002,C0002,11/1/24,P0003,Books,1,15.99
S0003,C0003,11/1/24,P0002,Electronics,1,1199.99
S0004,C0001,11/1/24,P0005,Clothing,3,29.99
S0005,C0004,11/2/24,P0004,Books,2,12.59
S0006,C0005,11/2/24,P0006,Home Goods,1,59.99
S0007,C0002,11/2/24,P0007,Electronics,1,499.99
S0008,C0003,11/3/24,P0001,Electronics,1,859.99
S0009,C0001,11/3/24,P0008,Clothing,2,24.99
S0010,C0004,11/3/24,P0003,Books,1,15.99
S0011,C0006,11/4/24,P0009,Home Goods,2,39.99
S0012,C0002,11/4/24,P0010,Books,1,14.99
S0013,C0007,11/4/24,P0002,Electronics,1,1199.99
S0014,C0005,11/5/24,P0011,Clothing,1,39.99
S0015,C0008,11/5/24,P0001,Electronics,2,859.99
S0016,C0003,11/5/24,P0012,Home Goods,1,19.99
S0017,C0002,11/6/24,P0004,Books,3,12.59
S0018,C0009,11/6/24,P0006,Home Goods,1,59.99
S0019,C0001,11/6/24,P0013,Electronics,1,599.99
S0020,C0010,11/7/24,P0005,Clothing,2,29.99
S0021,C0001,11/7/24,P0003,Books,1,15.99
S0022,C0011,11/8/24,P0004,Books,2,12.59
S0023,C0003,11/8/24,P0001,Electronics,1,859.99
S0024,C0012,11/8/24,P0009,Home Goods,3,39.99
S0025,C0004,11/9/24,P0002,Electronics,1,1199.99
S0026,C0005,11/9/24,P0010,Books,2,14.99
S0027,C0013,11/10/24,P0008,Clothing,4,24.99
S0028,C0006,11/10/24,P0005,Clothing,1,29.99
S0029,C0002,11/11/24,P0007,Electronics,2,499.99
S0030,C0014,11/11/24,P0012,Home Goods,1,19.99
S0031,C0001,11/11/24,P0006,Home Goods,1,59.99
S0032,C0008,11/12/24,P0003,Books,3,15.99
S0033,C0015,11/12/24,P0001,Electronics,1,859.99
S0034,C0003,11/13/24,P0011,Clothing,2,39.99
S0035,C0004,11/13/24,P0004,Books,1,12.59
S0036,C0009,11/14/24,P0002,Electronics,1,1199.99
S0037,C0002,11/14/24,P0013,Electronics,1,599.99
S0038,C0005,11/15/24,P0008,Clothing,3,24.99
S0039,C0010,11/15/24,P0009,Home Goods,2,39.99
S0040,C0001,11/15/24,P0010,Books,2,14.99
S0041,C0011,11/16/24,P0005,Clothing,1,29.99
S0042,C0003,11/16/24,P0007,Electronics,1,499.99
S0043,C0012,11/17/24,P0012,Home Goods,2,19.99
S0044,C0006,11/17/24,P0001,Electronics,3,859.99
S0045,C0002,11/18/24,P0004,Books,1,12.59
S0046,C0013,11/18/24,P0006,Home Goods,2,59.99
S0047,C0004,11/19/24,P0003,Books,2,15.99
S0048,C0008,11/19/24,P0002,Electronics,1,1199.99
S0049,C0001,11/20/24,P0008,Clothing,1,24.99
S0050,C0015,11/20/24,P0009,Home Goods,3,39.99